'id_car_generation','name','id_car_model','year_begin','year_end','date_create','date_update','id_car_type'
'750','9 поколение','753','2012','2016','1403647033','1500583335','1'
'8114','1 поколение','798','2006','2008','1461885806','1463241755','1'
'8115','AP2','800','2004','2009','1461885807','1463241782','1'
'8088','1 поколение','758','1998','2002','1461885734','1463241484','1'
'753','7 поколение','753','2002','2006','1403647033','1463241439','1'
'8086','1 поколение','756','1999','2003','1461885733','1463241473','1'
'8084','CB','755','1989','1993','1461885732','1463241472','1'
'757','3 поколение','753',NULL,NULL,'1403647033','1463241458','1'
'8082','1 поколение [рестайлинг]','754','2008','2010','1461885732','1463241469','1'
'8083','CE','755','1993','1997','1461885732','1463241471','1'
'759','5 поколение','759','2008','2011','1403647056','1463241486','1'
'760','5 поколение [рестайлинг]','759','2011','2017','1403647056','1484989659','1'
'761','4 поколение [рестайлинг]','759','2005','2008','1403647056','1463241490','1'
'762','2 поколение','759','1986','1994','1403647056','1463241488','1'
'763','1 поколение','759',NULL,NULL,'1403647056','1463241488','1'
'8109','1 поколение','787','2001','2004','1461885797','1463241710','1'
'768','9 поколение [рестайлинг]','761','2013','2017','1403647084','1484989664','1'
'9354','1 поколение','766','1993','1998','1463241561',NULL,'1'
'770','9 поколение','761','2012','2015','1403647084','1479515327','1'
'771','8 поколение','761','2005','2008','1403647084','1463241508','1'
'772','7 поколение','761','2000','2005','1403647084','1463241519','1'
'773','6 поколение','761','1995','2001','1403647084','1463241524','1'
'774','5 поколение','761','1991','1997','1403647084','1463241528','1'
'8098','2 поколение','766','2007','2010','1461885749','1463241560','1'
'8099','1 поколение [рестайлинг]','769','2006','2009','1461885751','1463241605','1'
'776','2 поколение','761',NULL,NULL,'1403647084','1463241537','1'
'778','4 поколение','763','2012','2015','1403647093','1463241549','1'
'779','3 поколение','763','2006','2009','1403647093','1497997706','1'
'780','2 поколение','763','2002','2004','1403647093','1497997707','1'
'781','1 поколение','763','1995','1999','1403647093','1463241553','1'
'782','3 поколение','764','1992','1999','1403647096','1463241555','1'
'783','2 поколение','764','1987','1992','1403647096','1463241556','1'
'784','1 поколение','764','1983','1987','1403647096','1463241557','1'
'785','1 поколение [рестайлинг]','767','2012','2015','1403647109','1479515375','1'
'786','1 поколение','767','2009','2012','1403647109','1463241564','1'
'787','2 поколение','768','1997','2000','1403647112','1463241603','1'
'788','1 поколение','768','1992','1996','1403647112','1463241604','1'
'789','1 поколение [рестайлинг]','770','2006','2008','1403647118','1463241609','1'
'790','1 поколение','770','2003','2006','1403647118','1463241610','1'
'791','2 поколение','774','2007','2010','1403647217','1479515392','1'
'792','1 поколение','774','2001','2007','1403647217','1463241625','1'
'794','2 поколение','778','2009','2011','1403647230','1463241663','1'
'795','1 поколение','778','1999','2006','1403647230','1463241663','1'
'796','5 поколение','779','2007','2010','1403647233','1463241665','1'
'797','4 поколение','779','2003','2005','1403647233','1463241667','1'
'798','3 поколение','779','1998','2003','1403647233','1463241668','1'
'799','2 поколение','779','1995','1998','1403647233','1463241669','1'
'800','1 поколение','779','1989','1995','1403647233','1463241669','1'
'801','4 поколение','780','2001','2004','1403647237','1463241672','1'
'802','3 поколение','780','1993','1995','1403647237','1463241677','1'
'803','2 поколение','780','1989','1993','1403647237','1463241678','1'
'804','1 поколение','780','1985','1989','1403647237','1463241679','1'
'805','2 поколение','782','2007','2011','1403647269','1463241684','1'
'806','1 поколение','782','2001','2004','1403647269','1463241685','1'
'807','4 поколение','783','2004','2008','1403647272','1463241688','1'
'808','3 поколение','783','1996','2004','1403647272','1463241689','1'
'8108','1 поколение [рестайлинг]','787','2004','2008','1461885797','1463241709','1'
'810','2 поколение','783','1990','1996','1403647272','1463241690','1'
'811','5 поколение','784','2008','2010','1403647275','1463241694','1'
'812','4 поколение','784','2003','2006','1403647275','1463241697','1'
'813','3 поколение','784','1998','2001','1403647275','1463241699','1'
'819','4 поколение','790','2009','2013','1403647297','1479515442','1'
'820','3 поколение','790','2003','2007','1403647297','1463241729','1'
'821','2 поколение','790','1998','2003','1403647297','1463241733','1'
'822','1 поколение','790','1994','1999','1403647297','1463241734','1'
'823','2 поколение','792','2006','2010','1403647329','1463241739','1'
'824','1 поколение','792','1996','2006','1403647329','1463241739','1'
'825','2 поколение','793','1998','2002','1403647332','1463241741','1'
'826','1 поколение','793','1993','1997','1403647332','1463241742','1'
'827','2 поколение','794','2008','2011','1403647336','1463241744','1'
'828','1 поколение','794','2002','2006','1403647336','1505760175','1'
'829','5 поколение','795','1996','2001','1403647339','1463241747','1'
'830','4 поколение','795','1991','1996','1403647339','1463241749','1'
'831','3 поколение','795',NULL,NULL,'1403647339','1463241749','1'
'832','2 поколение','795',NULL,NULL,'1403647339','1463241750','1'
'833','1 поколение','795',NULL,NULL,'1403647339','1463241751','1'
'834','2 поколение','801','1998','2003','1403647383','1463241786','1'
'835','1 поколение','801','1995','1998','1403647383','1463241787','1'
'836','4 поколение','803','2009','2012','1403647390','1463241791','1'
'837','3 поколение','803','2003','2007','1403647390','1463241794','1'
