'id_car_model','id_car_mark','name','name_rus','id_car_type'
'2','1','ACE',NULL,'1'
'3','1','Aceca',NULL,'1'
'4','1','Cobra',NULL,'1'
'5','2','CL',NULL,'1'
'6','2','CSX',NULL,'1'
'7','2','EL',NULL,'1'
'9','2','Integra',NULL,'1'
'11','2','MDX',NULL,'1'
'12','2','NSX',NULL,'1'
'13','2','RDX',NULL,'1'
'14','2','RL',NULL,'1'
'16','2','RSX',NULL,'1'
'17','2','SLX',NULL,'1'
'18','2','TL',NULL,'1'
'19','2','TSX',NULL,'1'
'20','2','ZDX',NULL,'1'
'21','3','145',NULL,'1'
'22','3','146',NULL,'1'
'23','3','147',NULL,'1'
'24','3','155',NULL,'1'
'25','3','156',NULL,'1'
'26','3','159',NULL,'1'
'27','3','164',NULL,'1'
'28','3','166',NULL,'1'
'29','3','33',NULL,'1'
'30','3','4C',NULL,'1'
'32','3','75',NULL,'1'
'33','3','8C Competizione',NULL,'1'
'38','3','Brera',NULL,'1'
'40','3','Giulietta',NULL,'1'
'41','3','GT',NULL,'1'
'43','3','GTV',NULL,'1'
'44','3','MiTo',NULL,'1'
'47','3','Spider',NULL,'1'
'52','4','A610',NULL,'1'
'55','6','Atom',NULL,'1'
'56','7','10',NULL,'1'
'57','7','24',NULL,'1'
'59','8','Rocsta',NULL,'1'
'61','9','Cygnet',NULL,'1'
'62','9','DB7',NULL,'1'
'63','9','DB9',NULL,'1'
'64','9','DBS',NULL,'1'
'65','9','Lagonda',NULL,'1'
'66','9','One-77',NULL,'1'
'67','9','Rapide',NULL,'1'
'69','9','Vanquish',NULL,'1'
'74','9','Virage',NULL,'1'
'75','10','100',NULL,'1'
'76','10','200',NULL,'1'
'78','10','80',NULL,'1'
'79','10','90',NULL,'1'
'80','10','A1',NULL,'1'
'81','10','A2',NULL,'1'
'82','10','A3',NULL,'1'
'84','10','A4',NULL,'1'
'85','10','A5',NULL,'1'
'86','10','Allroad',NULL,'1'
'87','10','A6',NULL,'1'
'88','10','A7',NULL,'1'
'89','10','A8',NULL,'1'
'90','10','Cabriolet',NULL,'1'
'91','10','Coupe',NULL,'1'
'93','10','Q3',NULL,'1'
'94','10','Q5',NULL,'1'
'95','10','Q7',NULL,'1'
'96','10','Quattro',NULL,'1'
'97','10','R8',NULL,'1'
'98','10','RS Q3',NULL,'1'
'100','10','RS 3',NULL,'1'
